dataset,attack_only,train_percentage,n_components,covariance_type,reg_covar,tune_components,selection_metric,accuracy,precision,recall,f1_score
CIC-IDS2017,True,32,2,full,1e-06,True,aic,0.9989580896893406,0.995205197542322,0.9925702843997468,0.9938819066936454
CIC-IDS2017,True,32,2,full,1e-06,True,accuracy,0.9989580896893406,0.995205197542322,0.9925702843997468,0.9938819066936454
CIC-IDS2017,True,32,1,full,1e-06,True,f1_score,0.9984052393204194,0.9919501336592176,0.9939598398199666,0.9929331415449804
CIC-IDS2017,True,32,3,full,1e-06,False,aic,0.99736332900976,0.9864183402737474,0.993188307051788,0.9896080396212448
CIC-IDS2017,True,32,3,full,0.001,True,aic,0.9967041612622,0.9821292825269732,0.991593859156692,0.9866279907208764
CIC-IDS2017,True,32,2,full,0.001,True,accuracy,0.996682897786472,0.981910998648148,0.991904003687578,0.9866645980744692
CIC-IDS2017,True,32,3,full,0.001,True,f1_score,0.9967041612622,0.9821292825269732,0.991593859156692,0.9866279907208764
CIC-IDS2017,True,32,3,full,0.001,False,aic,0.9967041612622,0.9821292825269732,0.991593859156692,0.9866279907208764
CIC-IDS2017,True,32,1,tied,1e-09,True,aic,0.9982776584660528,0.9915799918750258,0.9920753574177557,0.991803583569014
CIC-IDS2017,True,32,3,tied,1e-09,True,accuracy,0.9986178740776968,0.9939099139239266,0.9944229191103032,0.9941431193181244
CIC-IDS2017,True,32,3,tied,1e-09,True,f1_score,0.9986178740776968,0.9939099139239266,0.9944229191103032,0.9941431193181244
CIC-IDS2017,True,32,3,tied,1e-09,False,aic,0.9986178740776968,0.9939099139239266,0.9944229191103032,0.9941431193181244
CIC-IDS2017,True,32,1,tied,1e-06,True,aic,0.9984052393204194,0.9919501336592176,0.9939598398199666,0.9929331415449804
CIC-IDS2017,True,32,1,tied,1e-06,True,accuracy,0.9984052393204194,0.9919501336592176,0.9939598398199666,0.9929331415449804
CIC-IDS2017,True,32,2,tied,1e-06,True,f1_score,0.9984477662718748,0.9922837788111042,0.994261341544192,0.993248873713234
CIC-IDS2017,True,32,3,tied,1e-06,False,aic,0.9983839758446916,0.9923161254984896,0.993600402731486,0.9929293867916564
CIC-IDS2017,True,32,2,tied,0.001,True,aic,0.9966403708350168,0.9830152785829146,0.9911848978535046,0.9868648405336574
CIC-IDS2017,True,32,2,tied,0.001,True,accuracy,0.9966403708350168,0.9830152785829146,0.9911848978535046,0.9868648405336574
CIC-IDS2017,True,32,2,tied,0.001,True,f1_score,0.9966403708350168,0.9830152785829146,0.9911848978535046,0.9868648405336574
CIC-IDS2017,True,32,3,tied,0.001,False,aic,0.9966403708350168,0.98311496727322,0.9909294170245238,0.9867896775546292
CIC-IDS2017,True,32,2,diag,1e-09,True,aic,0.9859873694954178,0.9266430138624652,0.928522949257168,0.9145748269395568
CIC-IDS2017,True,32,3,diag,1e-09,True,accuracy,0.993812328563227,0.9625691234701808,0.9824661021774354,0.97177113368019
CIC-IDS2017,True,32,3,diag,1e-09,True,f1_score,0.993812328563227,0.9625691234701808,0.9824661021774354,0.97177113368019
CIC-IDS2017,True,32,3,diag,1e-09,False,aic,0.993812328563227,0.9625691234701808,0.9824661021774354,0.97177113368019
CIC-IDS2017,True,32,3,diag,1e-06,True,aic,0.9907929150098876,0.9478960905567104,0.978326517880218,0.9617172796850976
CIC-IDS2017,True,32,3,diag,1e-06,True,accuracy,0.9907929150098876,0.9478960905567104,0.978326517880218,0.9617172796850976
